eng_dep_surp,zh_dep_surp,
5.0878115,1.8131679,-3.2746436
3.5140586,4.599351,1.0852924
4.2371154,1.658982,-2.5781334
2.6137643,5.517721,2.9039567
4.1108103,4.8303914,0.7195811
4.697758,5.3285184,0.6307604
3.0027275,4.995695,1.9929675
0.36410666,3.4189012,3.05479454
4.702864,6.1155834,1.4127194
4.4884458,6.1155834,1.6271376
4.097963,6.7175035,2.6195405
6.352675,5.1383114,-1.2143636
4.022133,6.1578684,2.1357354
3.7085223,5.2813287,1.5728064
4.012207,5.1194572,1.1072502
5.7049494,4.5462027,-1.1587467
3.4251842,3.5340314,0.1088472
2.3193672,6.1578684,3.8385012
4.4298425,5.758826,1.3289835
3.5135195,6.0795383,2.5660188
4.3551774,6.42544,2.0702626
4.4526043,4.9258785,0.4732742
5.7049494,1.2628695,-4.4420799
6.633834,5.7083206,-0.9255134
4.4750533,5.777278,1.3022247
2.1936789,5.239043,3.0453641
3.8198168,1.658982,-2.1608348
2.8277843,3.5023882,0.6746039
4.769674,3.3649502,-1.4047238
2.538915,3.4632647,0.9243497
2.6128054,4.536529,1.9237236
4.735659,3.6788476,-1.0568114
3.60218,3.686731,0.084551
3.2323453,6.1578684,2.9255231
3.753338,5.9348183,2.1814803
4.511464,1.8131679,-2.6982961
5.3858457,5.6963525,0.3105068
5.4425297,5.5748878,0.1323581
5.8380547,2.8582244,-2.9798303
6.5621624,3.6259418,-2.9362206
4.702864,6.1155834,1.4127194
5.5497465,0.8532937,-4.6964528
4.702864,6.1155834,1.4127194
3.842728,5.446909,1.604181
4.3832345,3.934435,-0.4487995
3.577695,3.3089855,-0.2687095
4.362063,6.1155834,1.7535204
3.577695,3.3089855,-0.2687095
4.9861083,5.477618,0.4915097
5.3858457,5.4256372,0.0397915
4.0247817,5.958043,1.9332613
4.5050554,3.4189012,-1.0861542
5.195448,5.1194572,-0.0759908
6.3880234,5.404624,-0.9833994
4.9199343,4.8450255,-0.0749088
4.1318703,5.0582786,0.9264083
4.141815,3.0876331,-1.0541819
3.5468645,4.376959,0.8300945
3.837476,5.2029443,1.3654683
2.1936789,3.317915,1.1242361
6.364901,2.7414942,-3.6234068
3.0103362,2.8288326,-0.1815036
3.753338,3.3496456,-0.4036924
4.702864,6.228681,1.525817
4.2246547,6.146909,1.9222543
4.2579236,4.4710946,0.213171
3.8198168,1.2628695,-2.5569473
1.6429392,4.557679,2.9147398
5.0280943,4.2690663,-0.759028
4.510197,3.86996,-0.640237
5.0293174,5.3370275,0.3077101
3.753338,3.668542,-0.084796
4.702864,6.1155834,1.4127194
4.26109,4.745816,0.484726
4.115066,5.9348183,1.8197523
4.4594326,6.1990705,1.7396379
5.020308,4.1920004,-0.8283076
5.7049494,1.658982,-4.0459674
0.36410666,6.1990705,5.83496384
2.8277843,5.9818206,3.1540363
3.837476,4.5841694,0.7466934
6.722369,5.404624,-1.317745
4.2547255,6.1578684,1.9031429
4.1268287,1.2628695,-2.8639592
3.7959292,3.3992555,-0.3966737
4.769674,5.5611053,0.7914313
4.300277,6.1155834,1.8153064
4.7213054,6.0025077,1.2812023
4.7034903,5.7690144,1.0655241
5.1395407,4.129241,-1.0102997
3.837476,5.2029443,1.3654683
3.9596064,3.924285,-0.0353214
4.929729,6.39514,1.465411
6.5298963,5.955969,-0.5739273
5.4917397,5.958043,0.4663033
4.775923,6.228681,1.452758
3.2130532,4.1182137,0.9051605
4.26109,3.9310424,-0.3300476
5.7049494,1.658982,-4.0459674
4.5526958,6.1155834,1.5628876
7.342967,5.3421507,-2.0008163
4.141815,3.0876331,-1.0541819
3.7591515,4.938692,1.1795405
2.8090277,1.8367858,-0.9722419
2.8090277,1.8367858,-0.9722419
3.2659943,3.1329658,-0.1330285
4.702864,6.1155834,1.4127194
4.702864,6.1155834,1.4127194
4.605041,4.892669,0.287628
4.2969985,3.8367288,-0.4602697
7.551229,6.1155834,-1.4356456
3.2560484,5.4736595,2.2176111
4.300277,5.867935,1.567658
6.5621624,5.6488976,-0.9132648
3.7149053,5.4948006,1.7798953
4.702864,6.1155834,1.4127194
4.3463297,3.4894767,-0.856853
4.2655845,3.5023882,-0.7631963
0.36410666,6.1990705,5.83496384
6.489805,5.9348183,-0.5549867
6.633834,6.4697857,-0.1640483
3.8360503,3.317915,-0.5181353
3.8562539,6.1155834,2.2593295
4.697758,5.777278,1.07952
3.9764767,5.2029443,1.2264676
1.6181449,3.3166378,1.6984929
3.365475,5.2188416,1.8533666
4.994544,3.677875,-1.316669
4.2372713,6.1155834,1.8783121
1.6181449,4.5545177,2.9363728
6.2920904,2.1768596,-4.1152308
2.969244,5.3421507,2.3729067
3.9428484,3.0264444,-0.916404
3.312749,5.8997507,2.5870017
4.702864,6.1578684,1.4550044
3.363631,6.4697857,3.1061547
3.363631,6.4697857,3.1061547
2.762519,4.525676,1.763157
3.7591515,5.9348183,2.1756668
5.9794664,6.1990705,0.2196041
3.0263615,5.951422,2.9250605
4.620539,6.3122454,1.6917064
6.121278,4.828044,-1.293234
2.771241,6.1990705,3.4278295
2.4993927,2.10114,-0.3982527
2.9658184,5.4090266,2.4432082
3.8198168,1.658982,-2.1608348
4.846082,3.0876331,-1.7584489
3.7591515,5.2029443,1.4437928
3.8783395,6.4697857,2.5914462
5.732861,4.403303,-1.329558
4.403191,6.1155834,1.7123924
5.6248646,5.258322,-0.3665426
1.7187088,6.1990705,4.4803617
3.6236255,2.10114,-1.5224855
3.9428484,5.1194572,1.1766088
3.7478285,4.1920004,0.4441719
5.3858523,5.9818206,0.5959683
3.7591515,2.7602558,-0.9988957
5.2847433,5.9348183,0.650075
2.4993927,3.3621848,0.8627921
1.3080475,1.4383837,0.1303362
5.7049494,1.658982,-4.0459674
4.1154156,4.627765,0.5123494
4.2957273,5.4256372,1.1299099
5.9379735,5.6755657,-0.2624078
2.9658184,5.4090266,2.4432082
5.7049494,1.7969531,-3.9079963
4.2371154,1.658982,-2.5781334
4.1139975,4.6307087,0.5167112
5.175803,5.5654106,0.3896076
4.671307,3.1611881,-1.5101189
5.7049494,1.2628695,-4.4420799
5.144881,4.8178115,-0.3270695
3.4919996,5.8235197,2.3315201
3.6236255,3.3621848,-0.2614407
2.9742372,4.745816,1.7715788
4.510197,3.86996,-0.640237
3.8198168,4.5462027,0.7263859
3.0027275,3.3621848,0.3594573
4.702864,5.718334,1.01547
4.240737,3.0876331,-1.1531039
5.056541,6.1155834,1.0590424
1.8832291,3.6570387,1.7738096
4.0487247,5.9348183,1.8860936
4.605041,3.1795766,-1.4254644
2.9658184,5.4090266,2.4432082
3.9594686,4.702578,0.7431094
6.145088,4.619262,-1.525826
3.0811381,5.2029443,2.1218062
3.0028594,2.7874987,-0.2153607
5.5713367,6.5526805,0.9813438
3.4687233,4.940975,1.4722517
2.8699777,5.9070067,3.037029
3.9596064,6.4697857,2.5101793
0.36410666,4.6328387,4.26873204
3.303364,3.6154244,0.3120604
3.6268156,5.9070067,2.2801911
6.443403,5.951422,-0.491981
6.253027,3.0084693,-3.2445577
3.8950832,5.5611053,1.6660221
4.165907,3.0264444,-1.1394626
3.0263615,5.951422,2.9250605
5.4523745,2.93893,-2.5134445
4.4874187,3.2697186,-1.2177001
3.7591515,4.938692,1.1795405
2.090656,3.8311622,1.7405062
7.0128345,6.1990705,-0.813764
2.4648993,2.90321,0.4383107
4.1384425,3.775039,-0.3634035
4.5632257,3.0876331,-1.4755926
4.141815,3.0876331,-1.0541819
4.165907,5.1194572,0.9535502
4.702864,6.1578684,1.4550044
6.121278,3.344674,-2.776604
3.2560484,2.3628836,-0.8931648
4.2371154,1.658982,-2.5781334
3.3643825,5.3846455,2.020263
7.0128345,6.1155834,-0.8972511
4.855769,4.0260386,-0.8297304
3.8198168,4.5462027,0.7263859
5.9345765,5.3710313,-0.5635452
2.982228,2.6317625,-0.3504655
3.2467809,1.7895416,-1.4572393
3.349006,4.7451134,1.3961074
1.8598375,5.9348183,4.0749808
5.78487,5.768536,-0.016334
4.696184,4.826582,0.130398
4.2957273,3.6857176,-0.6100097
2.2404108,1.874078,-0.3663328
4.322582,6.1578684,1.8352864
