,sent_type,university,sent_id,aligned_to,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word
47,non-code-switch,CMU,3821,CMU_49, ,设施 : 床 ， 桌子 ， 网络 ， 水电 都 有 ， 还有 空调 !,3,,床,38.860933817031736,6.021914,NN,11,nmod:topic,5.230359 3.535707 6.021914 0.7628116 5.87194 0.729177 4.298625 1.890065 5.779168 3.552311 1.13947 1.940914 3.122109 5.113225 5.007293,3.5996725733333337,,7.311764782757602,,1,8,0,1.0,5.230359
49,non-code-switch,CMU,7651,CMU_53, ,喜欢 挑战 和 尝试 新鲜 事物 ；,2,,挑战,36.8000629540724,3.467395,NN,4,conj,4.137242 3.467395 2.144705 4.579232 3.874115 0.5049582 2.575203,3.0404071714285714,,12.012245148550015,,2,2,0,0.0,4.137242
51,non-code-switch,CMU,4559,CMU_56, ,有 阳台 、 前后 花园 。,4,,前后,37.23759437749139,4.714108,NN,5,compound:nn,2.715695 5.294359 1.42096 4.714108 3.205664 1.308806,3.109932,,10.91363285988191,,2,1,0,1.0,5.294359
53,non-code-switch,CMU,5972,CMU_57, ,打扰 了 ， 搬家 出 家具 ， 价格 如图 下 ， 可 议 5 .,4,,搬家,40.402318900229496,6.276776,VV,1,ccomp,6.031991 1.276462 1.732808 6.276776 4.447054 5.431317 0.9882128 4.391565 10.51329 3.116772 0.5665758 2.805054 4.095102 10.51329 3.135041,4.35475404,,9.815020571213797,,2,3,0,1.0,1.276462
55,non-code-switch,CMU,2757,CMU_62, ,我的 书桌 和 沙发 ， 还有 一 个 小 冰箱 房 饮料 和 啤酒 ， 都 在 客厅 ， 和 卧室 就 一墙之隔 ， 我们 客厅 不 住 人 ， 所以 活动 空间 很大 。,10,,冰箱,38.79706257463431,4.555141000000001,NN,11,compound:nn,10.51329 6.364953 2.437033 5.074112 0.7621061 3.056363 1.269436 5.870041 2.596043 4.555141 5.194153 5.58707 1.566494 4.572647 0.8650046 3.035315 1.518679 4.862876 1.022272 2.84147 4.754136 2.985851 7.700582 0.5762527 3.200768 6.591563 3.223316 4.292892 2.029766 0.6607656 2.886598 4.714616 2.593417 3.773363 0.9820795,3.5580132714285715,,10.625950787430126,,2,1,0,0.0,2.596043
57,non-code-switch,CMU,4714,CMU_64, ,有 兴趣 看 房间 照片 的 请 邮件 联系 。,2,,兴趣,36.46474310429932,4.139023,NN,3,nsubj,2.715695 4.139023 5.29988 5.132896 4.911899 1.431429 5.442451 5.498927 3.218899 0.6328061,3.84239051,,8.578257944064871,,2,1,0,0.0,2.715695
59,non-code-switch,CMU,6327,CMU_67, ,我 会 保留 一 个 星期 。,6,,星期,37.080533907515296,2.318286,NN,3,dobj,3.527254 3.41376 3.22313 2.063136 5.36251 2.318286 0.9379214,2.9779996285714287,,12.012245148550015,,2,3,0,0.0,5.362509999999999
61,non-code-switch,CMU,6434,CMU_68, ,话 不 多 说 ， 直接 上 链接 ！,3,,多,33.55179624048572,0.7359536,AD,4,advmod,5.688997 2.779256 0.7359536 3.158305 0.8016323 4.249277 2.92708 4.585149 4.632327,3.2842196555555563,,8.251045032856455,,1,1,0,0.0,2.779256
63,non-code-switch,CMU,1904,CMU_69, ,公寓 有 空调 ， 厨房 家电 设备 齐全 ， 同时 房屋 管理 公司 的 维修 处理 也 非常 及时 。,3,,空调,38.933227616033385,4.202307,NN,2,dobj,4.876083 2.750553 4.202307 0.96393 5.48567 3.669703 2.711847 6.351652 0.370216 2.606274 9.374412 3.803994 1.861097 1.223583 4.650373 3.79948 2.749288 2.776933 4.672996 2.632837,3.5766614000000003,,9.121873390653851,,2,1,0,0.0,2.750553
65,non-code-switch,CMU,2480,CMU_76, ,还有 一 名 男 访问 学者 。,2,,一,31.93797259339581,0.7193732,CD,6,nummod,3.674056 0.7193732 1.317386 2.600062 5.578979 4.591899 1.288533,2.824326885714286,,5.4640260457876435,,1,4,0,0.0,3.6740559999999998
