non_cs_sentences_surps,cs_sentences_before_cs_surp,cs_sentences_cs_back_surp,cs_sentences_after_cs_surp,sample_zhwiki_surp
4.1759996,5.225617,7.3514414,5.096284,7.21781
7.21781,7.0391965,6.207384,5.894431,4.1666403
4.1666403,6.4932313,7.3514414,5.762203,7.2327523
7.2327523,6.776851,4.3535395,5.9255404,4.34258
7.1807833,7.262256,4.3535395,6.7091875,7.275574
4.4585123,3.4168775,4.5921493,3.4306083,4.3740377
6.7795906,7.2421484,4.3535395,7.249384,7.2360053
4.3451495,5.726776,3.5775623,5.905003,4.1787114
7.310274,7.3514414,5.769229,7.220346,7.205773
6.237634,7.0391965,7.3514414,7.1670523,6.8726544
4.643058,6.904053,7.3514414,7.1670523,4.1897306
6.2910895,7.0391965,7.0391965,7.1670523,7.2105746
7.208975,6.904053,5.476812,5.225617,6.6978993
5.594116,7.1807833,7.310274,7.2971773,6.946013
7.2162104,4.2973504,4.3535395,6.8726544,7.3095484
4.573495,6.639204,5.096284,7.302313,7.1670523
7.211736,7.2382445,7.310274,3.4306083,7.1598167
4.5667963,4.3243895,3.5775623,6.096537,4.1803713
3.9760242,7.2480097,7.3514414,6.7309637,5.3139744
7.25042,7.1598167,7.3514414,6.4755635,4.3534994
7.1807833,7.1807833,4.8926983,5.805728,7.275574
3.4168775,4.1759996,7.0391965,5.815725,7.1670523
7.1807833,7.3514414,7.344206,7.3514414,5.225617
3.0130775,4.2973504,5.910642,3.4168775,7.2971773
7.3514414,5.811053,7.3514414,7.249384,4.7691526
5.225617,7.2162104,6.566919,7.1670523,7.346245
7.1807833,7.3514414,6.695786,7.1670523,4.1759996
3.0130775,7.1670523,6.734556,7.1670523,7.21781
7.3514414,4.51397,3.9106045,7.1670523,3.0130775
6.3825297,7.4424596,4.3535395,7.1598167,6.8926697
7.5017433,7.1670523,6.3906245,5.696804,7.1842794
6.8726544,7.1670523,7.3514414,7.4014387,6.558925
7.1807833,5.762279,3.8187919,7.3514414,4.239999
7.1670523,7.3514414,3.5775623,7.1670523,6.757104
5.9298387,7.1670523,7.3514414,6.2062354,4.249358
6.3968234,4.875668,7.3514414,6.6978993,7.2105746
4.1666403,7.271955,7.3514414,7.1807833,7.1807833
6.94559,5.956181,5.320925,6.558925,7.1670523
6.8863854,6.4489646,5.516575,7.3514414,7.1670523
7.3095484,7.2138476,7.3514414,6.8726544,6.6841683
6.558925,7.3514414,7.3514414,7.3095484,7.1807833
3.0268083,7.1598167,5.096284,7.3514414,7.1598167
7.3514414,7.1807833,7.310274,7.1670523,4.1803713
7.1807833,7.1670523,7.310274,7.1670523,4.5297246
7.1670523,5.096284,7.0570436,7.3514414,2.3744044
3.0130775,6.5610642,5.4784513,6.8726544,6.55173
7.3514414,4.328749,7.0391965,7.302313,4.2585864
6.2574387,7.39772,6.8569107,7.1735477,7.21781
7.2721796,6.8726544,7.3514414,7.1807833,6.8726544
5.831547,7.1735477,7.3514414,7.1670523,7.3095484
5.2459526,7.1807833,6.953135,7.1598167,4.1666403
7.289942,4.1759996,5.769229,6.3702464,6.279171
4.1666403,7.3514414,7.344206,7.4515395,6.572656
7.2327523,7.1670523,7.3514414,7.1670523,4.1897306
7.1807833,7.1598167,7.3514414,6.8726544,7.2105746
3.0130775,7.1807833,3.5775623,6.132743,6.2711697
5.7499037,5.713045,5.554334,7.1735477,3.4306083
7.1670523,7.3514414,5.274063,7.1807833,6.7665
5.956181,5.580385,7.3514414,6.8726544,7.2331753
7.3514414,7.2162104,6.5610642,7.1807833,7.1807833
7.1735477,4.2973504,7.3514414,7.1598167,4.1759996
6.6978993,7.39772,4.3535395,7.1807833,7.2105746
5.9435697,5.937234,3.5775623,6.7433143,4.1803713
5.096284,7.098502,3.759165,5.918734,7.239988
