,original_sentence,cs1_index,cs2_index,distance
94,适合 爸 妈 来 visit ， 男女 朋友 来 visit ， 各 种 。,4,6,2
95,apartment 是 一 房 一 厅 ， 一 厨房 ， 一卫浴 。,0,1,1
100,小区 环境 非常 幽静 ： 有 多 处 playground 和 公园 ， 很 适合 有 孩子 （ 和 老人 ） 的 家庭 在,8,10,2
101,房间 明亮 宽敞 ， 干净 整洁 ， 有 walk in closet ， 家具 齐全 ， 可 拎包 入住 。,8,12,4
102,有 一 个 fireplace ， 中央 空调 。,3,5,2
103,prefer 男生 。,0,3,3
104,其他 附近 的 房子 可能 有 个别 卧室 或者 house 也 可以 夏天 短 租 的 。,9,12,3
107,整个 house 不 单独 租 一 个 卧室 ， 希望 同学 结伴 租 整 个 house 。,1,2,1
108,单独 饭厅 ， 后院 可 免费 停车 ， 包 utility ， 全 套 家具 .,9,13,4
109,整个 house 的 是 yearly lease .,1,2,1
110,补充 ： 如果 几 个 同学 一 起 租 整 个 house ， 麻烦 告知 具体 要求 。,9,12,3
111,整 栋 house 的 最早 2017/6/1 开始 入住 。,2,3,1
112,如有 需要 ， 请 email 联系 （ em@19,4,6,2
114,手头 没有 floor plan ， 所以 自己 画 了 张 。,2,5,3
115,邮寄 的 包裹 不用 担心 丢失 ， 会 有 doorman 代为 签收 保管 ；,9,10,1
116,house 内部 精心 装修 过 ， 因此 住 得 非常 舒服 。,0,1,1
117,house 在 白人 养老 社区 ， 环境 十分 幽静 ， 治安 很 好 。,0,1,1
119,厨房 卫生间 ： 可能 与 另 一 个 房间 的 人 share ， 另 一 个 房间 是 女生 ， 匹 大学生 ， 人 很 nice ， 很 爱 干净 。,11,5,1
120,周边 ： 附近 有 bar 和 餐厅 ， 还 有 小 超市 。,4,5,1
121,房间 格局 ： 一 室 一 厅 一 厨 一 卫 ， 很 适合 一 个 人 或 couple 入住 ， 房间 的 隔音 效果 很 好 。,18,19,1
122,可以 直接 签 一 年 ， 也 可以 接 现在 的 lease 然后 续签 。,11,12,1
123,房租 加上 utility 费用 一共 每 月 $1086 。,2,5,3
125,可以 在 网上 看 这个 apartment 的 介绍 。,5,6,1
126,公寓 的 详细 信息 和 图片 可以 在 union 的 网站 上 看到 。,8,1,1
127,若 有 兴趣 请 发 email 到 em@20,5,6,1
128,公寓 也 是 pet friendly 的 。,3,6,3
131,还有 个别 house 和 个别 单独 的 房间 招租 。,2,3,1
132,房间 位 于 house 三 层 楼 的 第三 层 。,1,3,2
133,整个 house 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,1,2,1
134,update on 7-27/2016-- 还有 两 个 卧室 招租 ， 欢迎 联系 。,1,4,3
135,可以 租 整 个 house ， 也 可以 租 单独 一 个 两 个 卧室 。,2,5,3
137,ps : 中国 房东 ， 特别 nice .,0,2,2
