,original_sentence,cs1_index,cs2_index,distance
839,去 做 inspection 的 时候 ， 记得 说 明白 ， 是 做 mechanical inspection ， 不 是 安全 和 尾气 检查,0,2,2
844,我 在 做 一 个 project 需要 interview 一 个 interpreter 。,5,6,1
845,房间 内 包含 queen size 床 ， 所有 必须 家电 ， 厨房 。,3,16,13
847,可以 email 联系 ： em@28,1,2,1
848,email 联系 。,0,1,1
850,目前 住 有 两 名 访问 学者 ( 男生 ) ， 人 都 很 nice ， 安静 。,14,16,2
851,我 是 第一 车主 ， 车 还 在 warranty 期内 。,8,9,1
852,the park 的 所有 公寓 都 是 full furnished ， 所有 家具 家电 齐全 并且 不 需要 额外 支付 上网 费用 。,7,2,2
853,本人 今年 夏天 毕业 所以 去年 签 的 lease 就 没法 用 了 。,8,10,2
855,apartment 小区 是 距离 penn state,0,1,1
856,房子 后面 有 个 deck ， 夏天 可以 烧烤 。,4,7,3
857,我 也 想 找 fall 一 个 学期 的,4,5,1
859,小区 安静 ， 无 party ， 十分 安全 。,4,6,2
861,一般来说 moderate accident 以上 的 就是 比较 严重 的 了 。,1,3,2
862,forest apartment 小区 是 state,4,2,2
864,走路 去 学校 15-18 min ， 然后 坐 校园 环线 可 方便 到达 校园 任何 地方 。,4,6,2
865,两 人 都 是 phd （ ee 和 ie 专业 ） ， 人 非常 nice 。,9,8,2
867,有 ride 话 ， 麻烦 请 联系 tan em@31,1,2,1
868,rt 一 个 bedroom 或者 两 个 bedroom 都 可以 ， 最好 有 两 个 床 可以 容纳 下 三 个 人 。,3,1,1
870,人 很 nice ， 不 开 party 。,2,4,2
872,有 兴趣 可 email 至 em@32,3,4,1
873,业务 有 房地产 广告 设计 包装 ， building technology ， 房地产 保险 评估 以及 施工 管理 技术 咨询 ， 承接 外包 业务 。,7,2,2
874,bus 直接 开进 小区 里面 。,0,1,1
875,茶几 ( size : 19 .,2,4,2
877,imperial towers 的 房东 会 在 新房 客 搬入 之前 做 inspection ， 可以 保证 房间 的 干净 整洁 ， 而且 平时 修理 非常 及时 。,11,2,2
879,college 最 大 的 健身 中心 ymca ， 提供 各 种 健身 器械 和 游泳 、 攀岩 、 舞蹈 、 篮球 等 场地 。,0,1,1
880,小区 后面 一路 之 隔 就 是 村里 的 high school ， 同时 有 运动场 等 方便 运动 。,9,11,2
883,clean tittle ， 无 事故 记录 车 。,0,2,2
884,新 att 无 合约 手机 ， 求 加 一 个 family plan ， 有 空位 的 holder 请 联系 em@40,9,1,1
885,因为 是 新 签 的 lease ， 屋子 里 的 地毯 都 是 全新 的 。,5,8,3
886,office 的 人 态度 都 挺 好 的 。,0,1,1
887,需要 share 卫生间 。,1,2,1
888,请问 下 ride for five 还 有 吗 ？,0,3,3
890,pass ( 可以 乘坐,0,2,2
891,整个 apartment 还 非常 新 ， 去年 新造 的 一 栋 。,1,2,1
894,房租 合同 包 buss pass 和 网络 ， 不 包 水电 。,2,4,2
895,求 ride 去 newark 机场 ！,1,2,1
896,lease 什么 时候 到 什么 时候 的 ？,0,1,1
897,lease 从 2017-7 月 开始 。,0,1,1
898,小区 附近 有 几 个 大型 超市 ， 比较 方便 ， 而且 没有 party ， 很 清静 。,13,15,2
899,因为 有 baby ， 所以 额外 注意 环境 卫生 。,2,4,2
901,之前 把 title 理解 错 了 title 的 名字 是 我,2,3,1
903,cable 是 免费 的 。,0,1,1
904,apartment 是 四 室 两 卫 ， 在 第一 层 ， 不用 爬 楼梯 ， 距离 bus stop 只要 1-2 分钟 。,0,1,1
905,如果 有 想要 看看 apartment 的 可以 联系 我 。,4,5,1
909,pass ， 我 租 了 别人 的 bus,0,2,2
910,pass 每 月 $35 ，,0,1,1
911,如有 意向 ， 请 email 联系 ： em@49,4,5,1
913,二 楼 有 一 个 share 的 卫生间 + 浴室 。,5,6,1
916,一 个 american 一 个 black 。,2,3,1
918,router 已 卖,0,1,1
919,无 事故 记录 ， clean title ， 按时 保养 。,4,8,4
921,可以 为 你 提供 mock interview 和 内推 。,4,6,2
922,公寓 离 bus stop 稍 远 但 环境 安静 绝 不 会 吵闹 。,2,4,2
923,yellow ， 包 很 轻 ， 很 新 。,0,2,2
924,居住 情况 ： 有 衣帽间 ， 两 人 share 一 个 卫生间 。,8,10,2
925,卧室 里 带有 十分 宽敞 的 独立 卫浴 ， 以及 walk in closet ， 十分 适合 女生 。,10,3,3
928,本 帖 由 更新 ， 毕业 甩卖 ， 准备 搞 一 个 garage sale ， 请 大家 多多 关注 。,12,15,3
929,如果 有 兴趣 ， 请 留言 ， 我 分别 告诉 大家 garage sale 的 地址 。,11,13,2
930,学校 计算机 lab 同款 。,2,3,1
931,本人 为 at&t family plan 的 holder ， 邀请 新 成员 加入 。,3,5,2
932,房间 是 三 楼 ， 最 大 的 那 间 ～～～一 人 住 或 couple 住 都 相当 合适 ！,14,12,1
933,lease 是 到 明年 八月 的,0,1,1
934,驾照 permit 已经 拿到 了 ， 求 老 司机 带 一下 ， 自己 没有 车 。,1,2,1
935,因 搬家 变成 full size 床 不 能 再 用 。,3,5,2
937,有 人 要 加入 family plan 吗 ？,4,6,2
938,需要 注意 的 是 ， 要 与 房东 签 lease ， 一般 是 一 年 一 签 。,9,11,2
939,hello ， 房子 还 有 吗,0,3,3
941,至于 你 说 我 mean ， 我 只 能 说 你 太 贪心 。,4,3,1
942,请 问 lease 从 什么 时候 开始,2,3,1
943,phd 新生 ， 男 ， 有意 lease 请 问 房租 如何 ？,6,1,1
944,can you send me pictures of 厨具 （ 全新 的 ） ?,0,5,5
946,如有 需要 请 尽快 email 我 ， 谢谢 ！,4,6,2
947,hello 请 问 房间 还 有 吗,0,7,7
949,可以 email 联系 吗 ?,1,3,2
950,最近 两 三 天 有 人 去 纽约 jfk 机场 吗 ？,8,9,1
951,部分 物品 已 出 ， 请 看 更新 的 list ， 谢谢 ！,9,11,2
952,非常 适合 couple 使用 。,2,3,1
953,本人 huck institute of life science 的 学生 ， 专业 是 biotechnology 。,11,6,5
954,两 层 house 上下 各 有 一 间 卫生间 。,2,3,1
955,可以 一起 租车 ， 换 着 开 ， share 费用 。,8,10,2
956,prefer 短信 先 。,0,2,2
957,亲 ， 租金 和 utilities 怎么 算 的 呢 ？,4,5,1
959,二 楼 的 是 full bathroom ， 空间 比较 大 ， 一应俱全 。,4,7,3
962,hello ， 房间 已 出租 了 吗 ？,0,3,3
963,房子 里 基本 的 家具 都 有 （ 床 是 twin size 的 ） ， utility 全 包 。,10,3,2
964,但 地下室 有 一 个 full bath 可以 使用 ， 不 会 有 冲突 。,5,7,2
965,快要 回去 了 ， 转让 meal plan 十 次 午餐 卡 。,5,7,2
966,因为 是 单独 一 层 ， 有 独立 卫生间 ， 所以 应该 是 男女 都 可以 住 ， 但 prefer 男生 。,19,21,2
967,没有 party ， 不 会 打扰 你 。,1,3,2
968,有意 ， 本人 phd 新生 ， 性格 不 爱 折腾 ， 无 不良 嗜好 ， 有意 lease 。,16,4,1
969,完 了 以后 你 就 登录 ， 然后 选 【 access my clearances 】 ， 【 create clearance application 】 然后 根据 要求 再 填 一 大 堆 信息 ， 然后 网上 付款 。,10,7,6
970,fee 里面 （ 只 用 交 一 次 ） 周边 环境 ： 离 公交 车站 近 。,0,1,1
971,master of liberal arts 都 适用 。,0,2,2
973,有 自己 独立 的 卫生间 ， 只 需 share 浴室 。,8,10,2
974,一起 新 签 lease ， 自己 顶 一下,3,5,2
975,hello ， 请 问 有 没 有 需要 出售 二手 自行车 的 ？,0,3,3
977,老 电视 free （ 买 其他 东西 的 时候 送 ） 8 .,2,4,2
981,oak hill 是 属于 cooper beech 的 房产 ， 三 层 三 个 卧室 的 house ， 小区 环境 很 美 ， 房间 超大 。,14,1,2
982,问 了 office 没有 整套 空房 了 。,2,3,1
983,房子 面积 较 大 ， 有 1700+ square feet ， 一共 分为 三 层 。,8,10,2
984,因为 我 真的 是 有 事情 必须 去 一 趟 加拿大 办理 ， 所以 希望 能够 成功 办理 到 visa ， 再次 感谢 了 。,19,21,2
985,可 share 油 费 等 。,1,6,5
986,两 个 车位 ， 一 个 reserved 车位 。,6,2,1
989,可以 一起 租车 去 ， 轮流 开车 ， share 费用 有意 请 联系 em@83,8,9,1
990,求带 ， 两 个 人 ， share 各 种 费用 。,6,8,2
991,这个 house 一 楼 有 三 个 房间 ， 有 一 间 大 房间 是 有 独立 卫生间 的 ， 其余 两 间 房间 共 享 一 个 卫生间 。,1,2,1
992,朋友 是 phd ， 讲究 个人 卫生 ， 不 打扰 别人 ， 平时 大部分 时间 在 实验室 。,2,4,2
993,小巧 方便 ， ask for $57 .,3,6,3
994,有 去 jfk 的 我 也 可以 绕 一下 。,2,3,1
995,所以 不用 担心 被 邻居 报警 或者 周围 开 party 太 吵 。,9,10,1
996,学校 保险 能 cover 这 部分 费用 吗 ？,3,4,1
997,能 ， 但是 cover 不 cover 我 忘了 。,3,4,1
998,lease 是 从 八月 开始 。,0,1,1
999,房租 是 所有 utility 都 cover 的,3,4,1
1000,带 厨房 和 卫生间 （ 可 share ） ， 有 冰箱 。,6,10,4
1004,没有 去 jfk 机场 的 直达 shuttle 吗 ？,2,3,1
1005,这 两 组 都 想 找 studio 或 one-bedroom 。,6,8,2
1006,因为 有 孩子 ， shared 的 可能 比较 不 合适 。,4,6,2
1007,office 很 专业 也 很 nice 。,0,1,1
1008,在家 就 可 打印 各 种 final 考试 资料 。,6,7,1
1009,同时 住 的 安静 ， 不 想 social 也 可以 过 一 个 安静 祥和 的 暑假 。,7,8,1
1010,车 保养 得 很 好 ， 没有 出 过 什么 问题 ， 处于 good condition 与 very good condition 之间 。,13,15,2
1011,求 明天 早上 去 jfk 的 ride 。,4,5,1
1013,房东人 很 nice ， 有 任何 问题 维护 及时 。,2,4,2
1014,我们 房间 里 有 一些 家具 ， 因为 会 搬到 furnished 的 房子 ， 可以 商量 留 一 部分 给 新 租户 。,10,12,2
1016,sorry ， 忘 了 留 联系 方式 了 ， pn-18,0,2,2
1017,hello ， 我 也 打算 过去 呢 ， 女生 一 枚 ~,0,3,3
1019,title 干净 ， 零 事故 。,0,1,1
1020,lease 具体 什么 时候 开始 啊,0,1,1
1021,utility 四 人 分摊 包括 ： 电 ， 气 ， 网 。,0,1,1
1023,从不 在 家里 开 party ， 偶尔 可能 会 邀请 二三 好友 来 家里 吃饭 ， 但 一定 会 提前 告知 你 并且 获得 你 的 同意 。,4,6,2
1024,房间 仍然 available ， 欢迎 各 种 咨询 ~ ~,2,5,3
1025,oil tank 位 于 房子 地下室 。,0,5,5
1026,距离 campus 非常 近 !,1,2,1
1027,无线 路由器 是 cable modem 么 ？,3,6,3
1028,update 啦 ， 暑期 出租 ， 欢迎 联系 。,0,1,1
1029,房屋 lease 八月 中旬 开始 ， 也 可 视 具体 情况 灵活 调整 。,1,2,1
1030,office 会 负责 打扫 干净 （ 包括 地毯 等等 ） ， 不用 担心 卫生 问题 。,0,1,1
1031,office 人 也 很 nice 。,0,5,5
1032,有 需要 的 请 联系 我 ， 只 提供 从 jfk 走的 。,10,14,4
1033,furnished ， 已 有 大多数 家具 （ 包括 书桌 ， 柜子 ， 床 ， 电视 ， 等等 ） ， 可以 即刻 拎包 入住 ， 也 可 搬家 具 入住 。,0,3,3
1034,平时 安静 ， 不 开 party ， 大部分 时间 都 在 实验室 。,5,7,2
1035,就 这么 说 吧 ， 我 一 进 卫生间 整个 block 都 知道 我 在 上 厕所 ， 那个 声音 简直 和 拖拉机 一样 ， 毫不 夸张 。,10,11,1
1036,因为 楼主 的 车 在 final week 被 拖 了 三 次 ！,5,7,2
1037,在 final week 被 拖 了 三 次 ！,1,3,2
1040,楼 主 如果 没有 办 permit 为什么 不 停 visitor parking 呢 。,5,6,1
1041,若 有 人 担心 厕所 要 share ， 其实 这 并不 是 问题 ！,6,9,3
1042,sorry ， 不 是 女生 。,0,2,2
1043,如果 只 想 从 august 开始 租 也 可以 的 ~ ~ 房子 很 干净 整洁 ， 欢迎 参观,4,5,1
1044,顺便 gym 跑步 的 distance 的 单位 是 公里 还是 迈 ？,1,2,1
1045,gym 算 mile,0,1,1
1046,moving sale 结束 ！,0,2,2
1047,项目 、 funding 什么 的 还没 和 教授 谈 。,2,3,1
1048,欢迎 电话 或者 email 咨询 。,3,5,2
1049,有 兴趣 email 至 em@32,2,3,1
1050,sam's club 的 后面 ， 对 ， 就是 mall 那里 ， 买 东西 非常 的 方便 而且 高速 就 在 旁边 。,8,2,2
1051,感兴趣 的 同学 请 email 我 ： zhengxin .,4,6,2
1052,停车 免费 ， guest parking 也 是 免费 。,3,5,2
1053,请 问 lease 到 几 月,2,3,1
1054,之前 看到 有 贴 大家 说 state id 就 可以 是 penn state id 吗 ？,6,8,2
1055,ps ： 记得 车 要 以 最好 是 gift 或者 尽量 少 点 金额 上报 给 officer ， 这样 可以 少 点 税 ， 税率 是 6% 。,0,2,2
1056,prefer 女生 ， 因为 我 是 女生 = = 。,0,2,2
1057,丰富 你 的 简历 ， 充实 课余 生活 ， leadership ， skills ， creativity ， 跟 我们 一起 嗨 爆 起来 ！,9,16,7
1058,可以 的 ， 只要 有 state id 就 可以,5,7,2
1059,对 ， 任何 dealer 那儿 都 可以 。,3,4,1
1060,有 state id 就 可以 。,1,3,2
1063,房子 离 club house 很 近 ， 去 车站 也 很 方便 。,2,8,6
1064,可以 一直 居住 ， 没有 lease 问题 ！,5,6,1
1065,我俩 是 情侣 出游 ， 人 很 nice ， 能 聊 能 kan 。,7,9,2
1066,房子 安静 ， 地段 好 ， 离 主要 grocery shopping 近 。,8,10,2
1067,all in perfect condition ， 价钱 可以 商量,0,6,6
1068,learner's permit 车辆 保险 证明 车辆 的 registration card 同行 需要 一 位 有 驾照 的 人 （ 和 他 的 驾照 ） 其实 这些 在 learner's permit 上 都 写 着 。,0,2,2
1069,照片 不 能 显示 ， 需要 的 短信 或者 email 我,9,11,2
1070,目前 楼主 正在 email 沟通 中 ， 法律 最后 吧 .,3,5,2
1071,居住 前期 的 物业 ， 一般 设施 坏 了 会 修理 ， 不 会 charge 你 。,14,15,1
1072,我 觉得 他们 就是 看 我们 毕业 要 回国 了 ， 不 会 再 回来 和 他们 argue ， 才 如此 得意 的 乱 罚款 ！,17,19,2
1073,hello 给 你 发 邮件 了,0,2,2
1074,今年 的 activity fee 我 已经 交 过 了 不 会 再 收 你 的 了 ！,2,4,2
1075,可以 一直 住 ， 没有 lease 的 问题 。,5,6,1
1078,富有 责任心 现在 就 申请 请 发送 你 的 resume 至 em@111,9,10,1
1079,我 可以 帮忙 share 费用 。,3,5,2
1080,今天 随手 一 试 发现 code 能用 ， 真是 意外 惊喜 。,5,6,1
1081,很 好 的 deal ， 有 兴趣 的 朋友 不 要 错过 。,3,7,4
1082,不如 去 抢 吧 ~ ~ 我 不 会 卖 dealer 吗 ~~~,10,11,1
1083,如果 有 价格 合适 的 studio 也 请 联系 楼 主 哦 ， 邮箱 em@117,5,6,1
1084,email 联系 了 您 ， 请 查收 ， 谢谢 。,0,2,2
1085,是 一 个 三 层 独立 house ， 房间 位于 二 楼 ， 一 层 为 厨房 和 客厅 。,6,8,2
1087,还 需要 ride for five 吗 ？,2,7,5
1088,大家 有 这 方面 的 商家 信息 ， 可以 share 啊 。,9,11,2
1089,通过 refer 获得 的 信用卡 ， 比 自己 申请 难度 小 一些 。,1,2,1
1090,做 examination 的 目的 也 是 配 眼镜 。,1,2,1
1091,求 当日 去 jfk 的 ride 。,3,4,1
1093,当时 bid 的 结果 相当于 原价 的 66% 。,1,2,1
1094,office 属于 apartment store ， 很 专业 也 很 nice 。,0,1,1
1095,应该 是 符合 了 官 网 申请 ride for five 的 要求 。,7,10,3
1096,新人 报道 ， 如何 加入 羽毛球 和 乒乓球 俱乐部 的 email list ， 这样 就 可以 知道 什么 时候 大家 一起 活动 了 ？,10,13,3
1097,各个 卧室 都 不 share 墙 ， 互 不 打扰 ！,4,6,2
1098,其他 的 utility 也 都 是 包含 的 ， 不用 额 外交 ， 比如 sewer 。,2,3,1
1099,那 还 需要 ineligible letter 吗 ？,3,6,3
1101,或者 附近 有 没 公寓 ， 可以 免费 overnight parking 的 啊 ？,8,10,2
1102,我 赶 时间 直接 去 机场 ， 所以 到 市区 的 我 只 能 中途 把 你 放到 mall 或者 其他 公交 进城 方便 的 地方 。,18,20,2
1103,在 “ 参考 思路 ” 中 ， 我们 已经 为 大家 列出 了 从 不同 stakeholders 的 角度 ， 为什么 此 项 政策 是 有意义 的 ， 欢迎 大家 参考 。,15,17,2
1104,希望 是 studio ， 或是 one bedroom .,2,4,2
1105,校 医院 有 专门 针对 抑郁 情绪 的 心理 辅导 ， 保险 cover 的,12,7,1
1107,如 有 available ， 请 邮箱 联系 em@121,0,3,3
1108,欢迎 email 咨询 ： em@123,1,2,1
1109,firestone 贵 于 其他 ， 但是 给 免费 transportation ( 出租 ) 。,0,12,12
1111,如果 你 能 看到 这个 post 就 说明 房间 还 available,5,6,1
1112,pictures 请 联系 pn-23,0,1,1
1113,有意 spring 开始 租 ， 房子 具体 信息 时 什么,1,2,1
1114,提 你 是 在 bbs 上 看到 的 帖子 还有 额外 优惠 哦 。,4,5,1
1115,这 就 需要 另外 的 trick 去 开 免费 的 savings 账户 了 。,5,6,1
1116,所以 即使 可以 有 两 个 permit ， 我 的 车 也 不 能 用 。,6,8,2
1117,因为 我们 将 会 break lease ， 所以 你 （ 们 ） 将 直接 和 park crest 签订 合同 ， 租约 将 从 十一月 开始 ， 但是 实际 入住 时间 可以 协调 前后 几 天 。,4,7,3
1118,因为 要 share 浴室 ， 所以 女生 会 方便 很多 。,2,4,2
1119,visa 过期 只 会 让 你 无法 入境 但 不 影响 出境 ， 考试 只要 你 护照 没 过期 就 可以 了 ， 不用 担心 ！,0,1,1
1120,房子 是 fully furnished ， 可以 拎包 入住 ， 而且 家具 都 比较 新 。,2,6,4
1121,prefer 女生 。,0,2,2
1122,因为 我们 将 会 break lease ， 所以 你 （ 们 ） 将 直接 和 park crest 签订 合同 ， 租约 将 从 十一月 开始 。,4,7,3
1124,在 park 分校,1,2,1
1125,因为 share 卫生间 问题 ， 限 男生 一 名 。,1,3,2
1127,没有 powered door lock ， 没有 powered window .,1,4,3
1128,family plan 缺 人 的 可以 加 我 哈 ！,0,2,2
1129,放在 toilet 洗 衣服 很 方便 。,1,7,6
1130,只 知道 韩国 留学生 有组织 tennis club ， 听说 也 有 中国 的 ， 有 人 知道 活动 时间 或者 联系 方式 吗 。,5,8,3
1131,seek tennis 网球 陪练 老师 ， 教 儿童 学员 if you are interested ， please contact em@139,0,1,1
1132,preferred 通讯 方式 是 em@144,0,1,1
1133,hello 大家 好 ！,0,2,2
1134,我 有 一 个 非常 nice 的 美国 朋友 ， 是 专门 教 英语 的 私人 教师 。,5,6,1
1136,附近 比较 好 的 dealer 在 你 可以 google 一下 ： blue knob ， 村里 local 的 dealer 不如 他们 家 （ 个人 感觉 ）,4,5,1
1137,可以 啊 ， 联系 我 ， 可以 email 我,7,4,1
1138,我们 是 一 对 couple ， 方便 出租 吗 ？,4,6,2
1141,me too ， 也 有 人 给 我 发 网址 。,0,1,1
1142,你 看 过 有 多少 比例 是 excellent 吗 ？,7,8,1
1143,现 at&t family plan 空余 两 条 线 。,2,4,2
1145,可以 询问 下 applied linguistics 的 老师 和 同学 ， 留心 广告,3,5,2
1146,四 层 小书 架 small book case $83 .,2,9,7
1147,不管 哪种 都 需 去 office 申请 和 签 lease 。,5,7,2
1148,房间 还 是 available 的,1,4,3
1149,客服 很 nice ， 丢 单 必 补 ， 从不 赖账 ；,2,4,2
1150,因为 是 resident house ， 房子 周边 非常 安静 。,2,5,3
1151,是 在 学校 可以 办理 还是 需要 去 某 一些 office ， 可以 网上 办理 吗 ？,10,3,1
1152,同时 也 欢迎 拿 gre 备考 资料 来 交换 。,4,8,4
1153,物业 非常 nice ， 维修 非常 及时 。,2,4,2
1154,本人 有 king size 床 和 twin 床 各 一 套 ， 需要 可以 联系 我 ， em@160,2,4,2
1155,另外 ， 本人 作息 规律 ， 不 会 开 party ， 无 不良 嗜好 ， 人 非常 好 相处,9,18,9
1156,虽然 是 mini washer ， 但是 日常 衣物 洗 起来 都 毫 无 压力 。,2,5,3
1158,必需 要 能 工作 later night 和 大部分 橄榄球 周末 。,4,5,1
1160,最好 是 couple ， 稳定 一点 的 那 种 。,2,4,2
1162,hello 我 回复 了 你 邮件 ， 不 知道 你 有 没 有 查收到 ？,0,2,2
1163,选择 standard shipping 即 可 免 运费 。,1,3,2
1164,hello 美女 。,0,2,2
1165,tag 过度 依赖 用户 的 自觉 ， 也 容易 重复 和 混乱 。,0,1,1
1166,hello ， 能 发 图片 看看 嘛 ？,0,3,3
1167,这 份 协议 里 不仅 包括 了 折扣 ， 还 包括 了 fee waiver ， 其中 包括 万 恶 的 激活 费 。,12,15,3
1169,只要 holder 是 employee 就 可以 ， 大家 可以 考虑 抱 大腿,1,3,2
1170,建议 先 考 permit ， 反正 只要 笔试 。,3,5,2
1171,可以 的 ~ 租车 的 时候 记得 带 着 passport 就好,7,9,2
1172,prefer 短信 。,0,2,2
1173,适合 size 娇小 的 女生 。,1,2,1
1176,你 好 ， 谢谢 你 的 信息 ， 奇怪 的 是 这个 bbs 竟然 没有 回复 别的 留言 的 功能 。,12,13,1
1177,可以 给 新 老生 提供 chase 的 信用卡 referral .,10,8,1
1178,本人 在 读 phd ， 女生 。,3,5,2
1180,具体 你 可以 短信 联系 我 （ pn-28 ） ， 因为 我 不 常 上 bbs 的 。,15,16,1
1181,moving sale 继续 ， 除 新鲜 蔬菜 外 所有 商品 有 额外 10% off 的 折扣 ， 并且 可 与 其它 折扣 叠加 。,0,2,2
1182,多少 mile 啊 ？,1,2,1
1183,近期 可以 尝试 一下 在 google 中 以 ［ 关键 字 site : bbs .,11,6,1
1186,有 没 有 box 呢 ？,3,4,1
1187,物品 的 availability 以 google drive 为准 ， 欢迎 询问 。,2,3,1
1189,最后 房间 的 cleaning fee 不 用 担心 ！,3,8,5
1190,prefer 女生 ， couple 也 可以,0,2,2
1191,最后 我 写信 问 的 结果 也 是 ‘ due to business decision ’ 这样 的 空话 。,9,13,4
1192,在线 的 live chat 基本 可以 解决 我 的 所有 问题,0,4,4
1193,house 送 两 个 免费 车位 ， lease 从 7 .,0,1,1
1194,帮 朋友 出租 ： 有 两 个 bedroom 两 个 全 bathroom 的 公寓 ， 位置 好 .,7,5,1
1195,我们 是 一 对 couple ， 都 在 penn state 读 phd 。,4,6,2
1196,所有 utility 我 都 会 交 ， ask for $450 / person / month .,1,2,1
1197,希望 同行 的 同学 能 share 一下 费用 。,5,7,2
1198,房间 描述 ： house 不 靠 马路 ， 非常 安静 。,3,4,1
1199,咨询 日期 和 价格 请 联系 ： pn-23 （ 短信 preferred ） ， 邮箱 em@190,10,13,3
1200,若 没有 人 买 ， 再 recycle 给 apple 公司 。,6,7,1
1201,全新 的 baby safety mirror ， 可以 看到 坐在 rear face seat 上 小孩 的 情况 ， $5 。,2,6,4
1202,小 蜡烛 一 盒 a box of little candles $2,2,8,6
1203,三 个 帽子 three hats $5 in total,0,8,8
1204,坐 几 站 bus 就 能 到 giant eagle ；,3,4,1
1205,blender ： 原价 $39 .,0,2,2
1206,出 闲置 ， 有 兴趣 请 email 联系,6,8,2
1207,车子 状况 非常 好 ， clean title ， 无 事故 ， 省心 省 油 。,5,8,3
1208,红色 ， 第一 任 车主 ， clean title ， 基本 配置 。,6,9,3
1211,clean title ， 随时 可 交 车,0,3,3
1213,无线 激光 打印机 brother 牌子 可以 复印 ， 扫描 ！,3,10,7
1215,写 paper 写 作业 必备 。,1,2,1
1216,hello 你 可以 直接 微 信 我 ， 我 发给 你 吗 ？,0,1,1
1218,平时 都 很 爱惜 车子 经常 保养 车主 不 吸烟 clean title 可 送 aux 线 手机 支架,10,12,2
1219,因 relocate 需要 ， 出手 小车 ~,1,2,1
1220,物品 condition 大部分 excellent to like new .,1,2,1
1222,front ， top ， bottom 都 有 dust filter ，,0,5,5
1223,对 您 的 tv stand 感兴趣 ， 请 提供 联系 方式 ， 我 的 联系 电话 pn-3 （ 杨 ） ， 谢谢 ！,3,6,3
1224,包含 ： 电 吉他 ， 音箱 ， cable ， 输入 3 .,7,9,2
1225,这 是 amazon 的 link,4,3,1
1226,今天 刚 做 的 inspection ， 去年 做 过 alignment ， 轮胎 刚 用 一 年 多 ， 很 新 。,4,6,2
1227,ask for $19500 （ 可 小刀 ）,0,6,6
1228,盒子 里 本身 两 个 游戏 ， 再 多 送 两 个 游戏 ， 很 适合 party 的 时候 大家 一起 玩 。,16,17,1
1229,king size 的,0,2,2
1230,clean title ， 从未 有 过 任何 事故 ， 车况 良好 ， 性能 稳定 ， 并 有 其他 附件 赠送 。,0,3,3
1231,两 个 car seater 都 出 了 ， 谢谢 关注 ！,2,4,2
1232,room essentials 风扇 。,0,3,3
1233,modem 和 wireless router 套餐 。,0,2,2
1234,发动机 强劲 smooth ， 驾驶 舒适 ， 视线 好 ， 跑 长途 毫无 问题 。,2,4,2
1235,我 刚刚 仔细 看 了 一下 空调 的 介绍 ， 这个 空调 好像 不 适合 standard window ， 如果 给 大家 造成 误导 ， 十分 抱歉 。,15,18,3
1237,thx 已 出,0,1,1
1238,或者 请 查看 word 附件 ～,3,4,1
1241,白板 [ size = 14 .,2,4,2
1243,所有 保养 ， inspection ， 换 轮胎 全 都 是 在 奔驰 dealer 做 的 。,3,5,2
1244,半 年 前 换 了 四 个 break rotors ， 和 两 个 front breaks ，,7,10,3
1245,最好 在 centre ， market district giant eagle 附近 。,0,6,6
1246,需要 自己 来 pick up ， 谢谢 ！,3,5,2
1248,顶上 的 mic 不 能 调节 方向 ， 但是 对 录音 效果 并 无 影响 ，,2,3,1
1251,今天 随手 一 试 发现 code 能用 ， 真是 意外 惊喜 。,5,6,1
1252,update : 依然 有效 ， 现在 $25 .,0,2,2
1253,平时 用 的 很 仔细 ， condition 很好 。,6,10,4
1255,选择 standard shipping 即 可 免 运费 。,1,7,6
1256,成色 不错 啊 ， 是 clean title 吗,5,7,2
1259,啊 不 好意思 我 已经 update 了 联系 方式 了,5,6,1
1261,精装 修 、 家具 全 、 free 无线 上网 !,6,7,1
1262,精装 修 家具 全 free 无线 上网 !,4,5,1
1265,欢迎 email 咨询,1,3,2
1266,门口 有 bus 到 中国 超市 ， 餐馆 和 downtown .,2,3,1
1267,house 一 楼 是 餐厅 客厅 和 厨房 二 楼 是 三 个 房间 share 卫生间 。,0,1,1
1268,四 个 房间 租金 分别 为 390 ， 420 ， 460 ， 490 usd / 月 。,13,16,3
1269,有 pet 可以 商量,1,2,1
1270,欢迎 email 联系 咨询 。,1,3,2
1271,如果 感 兴趣 ， 请 通过 email 联系 em@11,6,8,2
1272,house 共 两 个 卧室 ， 一 个 阁楼 。,0,1,1
1273,阁楼 有 一 个 living room 和 一 个 bedroom 。,4,5,1
1274,house 厨房 ， 厕所 宽敞 明亮 。,0,1,1
1275,本人 男 ， 今年 去 pitt 读 master ， 8 .,8,7,1
1276,要求 ： security deposit ， 爱 干净,2,4,2
1278,这时 living room 的 图片 ， 比 卧室 要 大 。,1,2,1
1279,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,6,9,3
1280,二 楼 是 三 间 卧室 和 一 个 full 卫生间 ；,9,11,2
1282,room a $600 ( 双 人大 床 ） 已 租 ！,0,11,11
1283,update : 房间 皆 已 出租,0,2,2
1284,可以 直接 签 lease ， 无 押金 ， 需要 预付 第一 个 月 房租 。,3,5,2
1285,房子 介绍 ： 两 室 两 厅 ， 一 个 full bathroom ， 明亮 宽敞 ， 两 室 两 厅 房 ， 拎包 入住 。,10,13,3
