,random_non_cs_1_word,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,sentence_length_zh,ngram_surp_zh
146,。,24.01388396175678,PU,1,5,3.0130775
147,。,24.01388396175678,PU,1,6,3.0130775
148,短,9.585201141537182,VA,1,14,6.8726544
149,和,4.681213610519307,CC,1,9,3.4168775
150,卧室,13.152579930518,NN,2,5,7.8777566
151,。,24.01388396175678,PU,1,3,3.0130775
152,全新,16.86947678143564,VA,2,6,7.3514414
153,椅子,11.941982913738553,NN,2,18,7.1807833
154,，,24.01388396175678,PU,1,13,4.44567
155,。,24.01388396175678,PU,1,9,3.0268083
156,没,8.435881584195032,AD,1,16,7.289942
157,齐全,11.122789557679344,VA,2,12,7.262256
158,图片,11.284957324203726,NN,2,13,6.8863854
159,，,24.01388396175678,PU,1,11,4.1666403
160,：,24.01388396175678,PU,1,4,4.4414167
161,。,24.01388396175678,PU,1,8,3.239824
162,大学,7.772161759561768,NN,2,7,6.8726544
163,，,24.01388396175678,PU,1,6,4.1666403
164,二月,15.476496063055023,NT,2,11,7.255239
165,，,24.01388396175678,PU,1,13,4.1803713
166,。,24.01388396175678,PU,1,7,3.0130775
167,卫生间,12.958432945055549,NN,3,24,7.1875896
168,也,5.753495111341643,AD,1,12,6.8726544
169,能,6.854115083559211,VV,1,13,6.566919
170,疑问,10.551322440409848,NN,2,24,7.1670523
171,大,6.052994150617842,VA,1,13,6.181618
172,需要,7.1858030399017725,VV,2,14,6.279171
173,个,5.928795457736317,M,1,9,5.713045
174,。,24.01388396175678,PU,1,4,3.0130775
175,提供,7.614861025642059,VV,2,16,5.918734
176,浴室,13.312709049386784,NN,2,11,7.1807833
177,灯,11.812823858050152,NN,1,14,7.239988
178,桌子,11.832662566399254,NN,2,22,7.2327523
179,不,5.309630429407184,AD,1,11,6.2062354
180,。,24.01388396175678,PU,1,6,3.0130775
181,用,7.056989652233064,VV,1,6,5.798504
182,免费,11.06351960234349,VA,2,9,6.6841683
183,，,24.01388396175678,PU,1,10,4.1666403
184,后院,13.943823209394838,NN,2,20,7.1807833
185,。,24.01388396175678,PU,1,5,3.0130775
186,黑色,11.300740733812113,NN,2,9,6.558925
187,面,8.109230076995921,NN,1,7,6.6841683
188,和,4.681213610519307,CC,1,8,3.4168775
189,，,24.01388396175678,PU,1,17,4.1803713
190,请,9.09378964655144,VV,1,9,7.3514414
191,房子,10.313797723407998,NN,2,6,7.0391965
192,！,24.01388396175678,PU,1,3,5.9435697
193,厅,9.59935175500953,NN,1,11,7.2162104
194,她,7.233968497970454,PN,1,12,7.0391965
195,一,4.847867458993145,CD,1,20,5.7105103
196,非常,8.291759627895479,AD,2,6,7.1912155
197,本,7.2762302447144735,NN,1,12,6.695786
198,。,24.01388396175678,PU,1,6,3.0130775
199,房间,10.717802599032664,NN,2,4,7.3514414
200,，,24.01388396175678,PU,1,8,4.1666403
201,层,9.131566245138742,NR,1,8,7.2162104
202,家电,12.303083523899197,NN,2,9,7.1807833
203,。,24.01388396175678,PU,1,7,3.0130775
204,，,24.01388396175678,PU,1,16,4.1666403
205,。,24.01388396175678,PU,1,9,3.0130775
206,$495+,24.01388396175678,NN,5,8,7.890858
207,。,24.01388396175678,PU,1,13,3.0130775
208,具体,7.733075675062951,VA,2,11,7.1735477
209,厨房,11.582833448300246,NN,2,19,7.2360053
210,白人,12.398167278949407,NN,2,9,7.2421484
211,，,24.01388396175678,PU,1,15,4.1666403
212,大,6.052994150617842,VA,1,20,6.119012
213,，,24.01388396175678,PU,1,11,4.1666403
214,入住,14.602645647413707,VV,2,24,7.1807833
215,。,24.01388396175678,PU,1,10,3.0130775
216,热心肠,17.241948405917178,NN,3,9,7.239988
217,一,4.847867458993145,CD,1,13,5.320925
218,水,8.780028928850754,NN,1,15,6.132743
219,电,9.08622612772747,NN,1,17,7.2327523
220,之,6.013534801376356,PN,1,6,5.817816
221,了,4.559665786076213,SP,1,17,6.6978993
222,，,24.01388396175678,PU,1,12,4.1666403
223,.,3.3652295975453916,PU,1,5,4.3314185
224,，,24.01388396175678,PU,1,9,4.1666403
225,女生,12.725427926689434,NN,2,8,7.39772
226,元,6.754910206421726,M,1,8,6.329227
227,$950,24.01388396175678,NN,4,12,7.269732
228,一,4.847867458993145,CD,1,12,5.320925
229,洗手间,14.514162960693236,NR,3,30,7.239988
230,出租,10.550818733744295,VV,2,12,7.3514414
231,已,7.390917240248654,AD,1,7,7.3514414
232,延长,10.60227173992914,VV,2,17,7.2327523
233,26，300,24.01388396175678,CD,6,11,7.3514414
234,，,24.01388396175678,PU,1,15,4.1666403
235,on+steamer,24.01388396175678,P,10,9,7.3514414
236,，,24.01388396175678,PU,1,10,4.1666403
237,可,7.093452252120851,AD,1,11,3.2731566
238,大,6.052994150617842,VA,1,14,6.119012
239,$2000,24.01388396175678,NN,5,6,7.8836226
240,！,24.01388396175678,PU,1,8,5.9298387
241,附近,9.813848689992001,NN,2,11,7.1670523
242,是,4.463178522257185,VC,1,5,4.328749
243,请,9.09378964655144,VV,1,13,7.1670523
244,。,24.01388396175678,PU,1,5,3.0130775
245,可以,6.39906961183706,VV,2,8,7.1598167
246,，,24.01388396175678,PU,1,11,4.49733
247,可以,6.39906961183706,VV,2,10,7.1735477
248,的,2.7277528723935442,DEG,1,10,4.1759996
249,很,6.723622818117736,AD,1,11,7.198451
250,可以,6.39906961183706,VV,2,11,7.2327523
251,因为,7.203584925473157,P,2,11,5.3795176
252,和,4.681213610519307,CC,1,16,3.4168775
253,$1437,24.01388396175678,NN,5,13,7.39772
254,屋内,14.703336329363573,NN,2,15,7.275574
255,kzhou,24.01388396175678,NR,5,4,7.1807833
256,700-800一,24.01388396175678,CD,8,12,7.4153876
257,。,24.01388396175678,PU,1,11,3.0268083
258,齐全,11.122789557679344,VA,2,12,7.1670523
259,一,4.847867458993145,CD,1,16,5.645244
260,还有,15.886184108939009,CC,2,11,6.508628
261,公寓,11.959774390608453,NN,2,12,7.3514414
262,。,24.01388396175678,PU,1,11,3.0130775
263,家具,11.90869298800786,NN,2,6,7.1807833
264,橱柜,18.593348962484495,NN,2,9,7.3514414
265,（,24.01388396175678,PU,1,8,4.573495
266,家具,11.90869298800786,NN,2,12,7.1807833
267,情况,6.953817044733121,NN,2,7,7.1670523
268,我,5.742656255517172,PN,1,13,6.3825297
269,，,24.01388396175678,PU,1,14,4.1666403
270,一,4.847867458993145,CD,1,11,5.320925
271,。,24.01388396175678,PU,1,11,3.0268083
272,的,2.7277528723935442,DEG,1,14,4.1759996
273,两,6.622455166510385,CD,1,6,7.39772
274,齐全,11.122789557679344,VA,2,9,7.1670523
275,的,2.7277528723935442,DEG,1,10,4.1897306
276,房间,10.717802599032664,NN,2,12,7.3514414
277,一,4.847867458993145,CD,1,6,5.320925
