retrained_eng_ngram_surp,retrained_zh_ngram_surp
2.8848157,5.7335825
3.3256536,7.1875896
8.185874,5.1263256
3.6285007,7.21781
5.313124,7.3514414
6.7056246,7.2327523
3.87844,7.239988
4.6803675,7.0391965
2.6197758,6.1316357
6.2367435,7.1807833
1.5554866,7.1807833
1.4949491,5.093579
5.2653375,7.1670523
5.4049664,6.3825297
0.16389118,7.39772
8.113655,7.5819244
4.6611304,5.554334
3.1844795,7.239988
3.8764393,6.6841683
7.8177776,7.21781
5.8762865,6.8726544
3.9303598,7.21781
7.6047964,6.0279365
0.9211502,7.1670523
3.4567983,7.0391965
3.0078685,7.262256
2.744822,4.2973504
7.8276305,7.1807833
7.3834176,7.1807833
7.4100814,7.2327523
2.4800305,6.3825297
7.4793158,7.1875896
3.7541833,6.415766
1.2421474,7.1735477
7.310775,6.7085767
7.3198266,6.2098618
1.8098267,7.239988
4.3687096,7.239988
5.213131,7.1670523
4.1979785,7.1670523
7.8276305,6.558925
5.7022886,7.1670523
4.264715,7.1670523
4.539043,7.1670523
7.097835,7.1670523
7.439166,7.1875896
3.469161,7.3514414
7.4531665,7.2327523
8.248479,5.9613276
4.742911,7.239988
7.653902,7.1598167
3.0511014,7.1670523
3.553328,7.885489
7.8276305,7.1807833
4.442648,6.7504826
2.2614021,7.239988
2.8444896,7.21781
8.093796,7.0391965
7.0807047,7.8777566
7.5037932,6.2062354
6.8537474,7.1598167
4.7664886,6.132743
5.192021,7.1670523
7.7347236,7.239988
3.961205,7.239988
7.690388,7.1670523
3.3603914,6.9635043
7.4531665,5.093579
1.981164,7.21781
4.8446913,7.3514414
1.4454436,7.39772
2.4599378,7.1670523
4.033594,7.1875896
3.8645835,7.1670523
8.248479,5.9696717
8.607626,7.481098
4.2629356,7.21781
3.4150763,6.558925
3.63376,8.452007
4.074206,7.21781
7.89877,7.2045007
6.506683,7.1670523
2.7462173,5.7335825
5.744354,7.3514414
1.5630789,3.2400136
3.1986551,7.103322
2.5017364,6.757104
8.6550045,7.2162104
1.3953379,7.1807833
7.7807536,7.180354
7.2328124,7.1807833
3.2684991,7.1598167
4.587993,7.39772
7.7426896,7.2138476
7.618664,7.1807833
6.6329465,7.249384
1.2265167,7.21781
7.702723,7.2971773
2.367656,7.1735477
4.3301816,7.239988
8.203812,7.103322
7.5943475,7.1875896
4.1749787,7.1875896
3.2173657,6.893192
3.727376,7.239988
5.5617895,7.1670523
5.5516524,7.0391965
6.1008515,7.3514414
7.8693256,7.1670523
