,Unnamed: 0,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,ngram_surp_zh,zh_word_index
1019,1019,7.66017748945888,AD,1,10.0980917,3
1020,1020,15.9882061350541,NN,2,15.468688,3
1021,1021,8.30852029261678,VV,1,7.8110801,3
1022,1022,14.1215054409475,NN,1,15.7636494,4
1023,1023,14.5294656733009,NN,3,16.5657631,2
1024,1024,10.8188455994756,PN,1,11.7492016,11
1025,1025,6.75356366123813,CC,1,4.3794549,8
1026,1026,13.201709612087,AD,1,14.4654,4
1027,1027,23.8405802829262,CD,3,12.3719422,2
1028,1028,15.5768883386259,NN,2,14.8316366,1
1029,1029,17.7648409224348,NN,2,17.94622,5
1030,1030,12.0905147725821,AD,2,13.552196,16
1031,1031,14.384591162035,NN,2,13.5181522,3
1032,1032,6.9939943419764,CD,1,12.995253,4
1033,1033,16.8551012472306,VV,2,19.6076746,3
1034,1034,10.763581842829,NN,2,4.468203,1
1035,1035,15.0955715387635,NN,2,17.528705,3
1036,1036,8.92347753506678,AD,1,8.06771,6
1037,1037,3.9353155417727903,DEG,1,4.2909262,6
1038,1038,6.75356366123813,CC,1,6.8471333,5
1039,1039,14.1583908370861,NN,2,10.028074,4
1040,1040,11.3235666997155,NN,2,18.0068654,3
1041,1041,10.6131722143327,NN,2,12.3889036,5
1042,1042,9.55418322723403,CD,1,13.9838633,2
1043,1043,6.43900552066259,VC,1,7.1775366,1
1044,1044,11.300351591512,CC,2,12.5375101,4
1045,1045,11.3446632329382,AD,1,10.522124,12
1046,1046,6.9939943419764,CD,1,9.3801795,2
1047,1047,6.9939943419764,CD,1,12.298015,6
1048,1048,9.23190599530059,VV,2,3.3152972,1
1049,1049,6.75356366123813,CC,1,5.1707757,5
1050,1050,8.35584676087881,NN,1,11.2204642,6
1051,1051,6.75356366123813,CC,1,5.0762759,7
1052,1052,3.9353155417727903,DEG,1,4.6871538,10
1053,1053,13.3789978338165,VV,2,14.0839702,2
1054,1054,6.75356366123813,CC,1,5.1707757,8
1055,1055,14.2278406030752,NN,2,14.0967357,2
1056,1056,19.4974268677429,VV,2,20.9061867,6
1057,1057,10.6617596693198,LC,1,6.124416,1
1058,1058,8.96811711566611,CD,1,15.622234,5
1059,1059,19.1728773511971,NN,2,18.014514,3
1060,1060,15.2216138644913,VV,2,10.9536101,5
1061,1061,15.0955715387635,NN,2,17.528705,3
1062,1062,15.0955715387635,NN,2,17.528705,3
1063,1063,12.3356563440912,VV,1,16.7764724,1
1064,1064,11.4721846033347,NN,2,18.1517081,1
1065,1065,14.8796648282926,NN,2,15.8168975,3
1066,1066,11.3446632329382,AD,1,8.6741103,5
1067,1067,9.08171248557967,CD,1,15.1595966,4
1068,1068,14.8796648282926,NN,2,17.8768507,1
1069,1069,13.0654225315012,VV,1,8.202189,5
1070,1070,8.30053886491148,AD,1,10.5535543,4
1071,1071,24.3375104949687,VA,2,14.998027,3
1072,1072,9.23190599530059,VV,2,11.889656,1
