cs_ngram_diff,cs_dep_diff,non_cs_ngram_diff,non_cs_dep_diff
-1.2115348,1.136329,3.86522087,4.2448742
0.9962695,-3.219574,0.616803,0.8717685
-3.5700355,-1.1776966,-2.3429933,1.5320844
-0.8843785,-1.6397084,-0.9716925,-0.8667973
-3.5025794,-0.7408786,1.6284347,1.4145487
-1.1031422,1.3826257,3.8822804,0.7347847
-3.8822804,-3.9185755,-3.0579883,2.2939506
-0.9632209,-3.3669955,-1.5102235,2.509681
-0.8476935,2.7014252,3.2676971,0.2062842
-0.5820401,-0.8663487,-3.8949395,2.8221923
-1.124031,-0.385213,1.2209413,-0.9871602
-2.7727874,-1.0883512,2.6588421,1.7007909
-0.8714948,-1.1678084,1.2209413,0.6989652
-4.0557959,-1.012918,-3.0579883,-0.7092199
1.8092287,5.075495,2.1643114,1.2528093
-1.7308207,0.401953,2.1885882,0.8806927
-1.2505899,4.0916015,1.0366311,0.2999697
-1.8847308,0.6514086,-4.26532,-0.3101925
-1.668457,-1.1541425,0.3788419,0.5200843
-1.5013305,-0.95046,-0.040461,-0.1161589
-0.8714948,-1.9019782,3.5387746,0.874205
-3.8822804,-1.012918,-0.040461,-1.0101934
1.0677545,-0.7069621,-3.8949395,0.8427647
-3.8822804,-2.4275426,3.6883459,3.8042941
1.9068835,0.6082264,-1.8265772,0.658157
-2.3601847,-2.555198,3.104273,0.6193925
-1.8308925,-1.1556008,1.4901404,1.2328055
-2.846784,0.335853,2.0779848,1.7801471
0.738984,1.1728439,0.909664,1.6773863
-2.3787651,-1.0972706,0.741541,1.2868528
0.21684,-1.106074,1.3247846,1.6901496
-1.7260725,-1.3370832,-4.6198293,0.5245597
-1.7260725,0.3133727,-3.0579883,2.068517
-2.3787651,-0.049062,-3.1267823,0.8006437
-2.1403957,0.339172,1.3247846,0.2062842
-0.8568343,-1.3633258,1.2256648,1.5910863
0.676442,-1.0566865,1.3609662,-1.9638588
-3.8822804,0.7841072,2.2813101,0.7199814
-3.3925676,-3.4437206,2.2684134,-0.6060665
-0.3539504,-2.7154586,0.909664,1.728583
-0.9257708,-3.5680642,2.2178523,0.6571529
-0.9658774,5.5759382,-3.1507433,-2.3026252
-1.5644244,2.0471115,1.2209413,-1.108231
-1.1248576,0.4060836,-0.040461,-0.6485725
-0.6775351,-0.7011894,-0.040461,0.2927346
-3.8822804,0.094616,0.6775351,-0.3848045
-3.2449434,2.094654,1.8204664,-1.4059193
1.1731044,-5.627865,-1.674974,2.6095146
-1.4331885,0.3715756,1.2024432,2.1440603
-3.8822804,-0.0806483,5.11140897,-1.1187091
-0.9632209,-1.012918,3.90190587,-0.4906593
3.9316245,1.6214213,-1.2768765,4.237768
-3.3121621,0.339172,1.5506394,-1.1579559
0.0833764,-2.4299105,1.9653163,-0.3443153
-2.227171,0.9318767,3.5727066,-2.0486703
-1.09439,0.096977,3.841113,0.9172355
-3.4016941,-2.1372284,3.0854113,-0.794868
1.4880418,2.1668925,-0.1309554,3.1994455
-1.2505899,-1.7422571,2.57233,-1.1526216
-3.8822804,-2.375752,3.4450498,0.6865711
0.275536,0.3315695,3.90190587,2.88116
-1.3434414,-0.385213,-0.1672583,-1.4967707
3.674339,0.6514086,1.021209,0.4377463
-3.2449434,-0.0611911,1.8617474,1.7332087
-0.018166,-4.747647,3.03569337,3.7886974
-0.9632209,0.6514086,-1.1086065,0.179898
0.2625295,0.339172,1.3609662,3.7909353
-0.1471818,-2.5435913,0.741541,5.1761683
-1.7031589,2.3203814,1.0174236,-2.1041529
-1.676219,0.3377744,2.6415885,1.000072
-3.7895254,1.0962913,3.2741533,0.459926
-0.961443,-2.9649682,0.868688,2.3219405
-3.579942,0.6514086,3.042099,1.9784949
-0.58431,0.761473,6.89980777,0.863219
-3.743551,-0.7069621,-3.0579883,0.7069621
0.1939371,-0.3404206,2.032271,1.0695371
-2.428273,-0.7499408,0.959652,0.991774
-1.490831,-0.5779748,-0.040461,0.7824995
-0.3185283,-0.286035,3.5609911,2.4034573
-2.1762657,-0.0012798,1.5198786,1.6685303
-3.8822804,1.0589443,3.6883459,0.1346964
-0.5046775,-1.2345781,-0.1515925,0.4901728
-2.032271,1.3684495,1.3365872,-3.7547047
1.1698522,0.7023296,0.8843785,-4.6476846
-1.7031589,0.723103,1.6070874,4.131891
-1.951931,-1.1556008,1.1355574,1.330201
-0.6028702,-4.5134723,2.1259346,1.1746176
-2.428273,1.0405497,1.2209413,2.5888644
0.0528812,0.5327816,-0.9716925,1.7196837
-0.7815863,1.6384937,2.9377853,0.4178444
